;2724
临床医学(中西医结合临床方向);5013
产品造型设计（文、理、艺兼收）;5207
嵌入式技术应用;2895
文秘（电子政务方向）;6726
道路桥梁工程技术(院级重点建设专业);4325
绘画（国画方向、油画方向）;8736
旅游管理(国际酒店管理方向)（文理兼招）;4881
动漫设计与制作;797
给水排水工程;309
涉外导游;5234
电子商务专业（本科）;6124
 历史教育;1624
应用缅甸语;9387
软件工程（测控技术与仪器方向）;4945
临床医学与医学技术类(中外);2677
中医学(临床);3122
建筑装饰技术;4590
微机电系统工程;9431
土木工程（交通土建）;4021
车辆运用工程;969
英语（医学科技方向）;6354
放射医学;2553
旅游英语（双语播音与讲解员方向）;3444
土水工程;8853
航空机电设备维修;1248
军事历史;4423
材料成型及控制工程专业（理科）【四川省"卓越工程师培养计划"专业】;8868
酒店管理（高级管家方向）;3749
信息与计算科学（二批）;5585
药物制剂专业;8327
商务英语(国际贸易方向);6277
计算机科学与技术(电子商务方向) ;8769
电机电器智能化;3683
海关管理;3663
朝鲜语专业（商务方向）;7585
药学（理科基地班）;2692
司法信息技术;3019
 视觉传达艺术设计;6940
勘查技术与工程专业（理科）【国家级特色专业】;8904
软件技术（订单培养、对口）;1724
信息管理与信息系统（学制4年）;2356
自动化（机器人）;4019
投资学;344
金融学（拔尖创新人才培育试验计划）;6590
会计（涉外方向）：;5229
针织技术与针织服装;4307
经济学（学制4年）;2398
软件技术（企业信息管理）;7653
国际贸易实务（620304）;5323
港口物流设备与自动控制(港口设施与设备管理方向);7683
印刷图文信息处理专业（包装设计方向）;6755
物流管理（二批）;5610
社区管理与服务（专科）;9589
制药工程（生物制药方向）;5511
电子工艺技术;6994
计算机科学与技术 (软件工程);7523
英语(英语教育);6908
地理科学类;4850
建筑系;5370
空中乘务及航空地勤;8177
电气自动化技术专业（工业机器人方向）;6771
管理科学(金融理财方向);7233
康复治疗技术 ;7635
药学;8
物理学（师范）;559
市场营销专业（专科）;6126
国际商务管理;3883
护理（口腔护理）;3786
计算机科学与技术（计算机通信、网络工程方向）;247
应用艺术设计（实用美术设计方向）;3328
数控技术（石油装备制造方向）（国家示范专业，文理兼招）;3210
数控技术（模具设计与制造）;3458
通信工程（闽台合作项目）;4827
会计学（国际商学院专业）;2720
广播电视编导（新闻采编与制作）;8816
软件工程（游戏开发技术方向）;6036
法学类（中外）;2703
工商管理(旅游景区管理方向);8389
金融与证券 ;7620
人文地理与城乡规划专业;498
投资与理财 ;1804
物联网工程 ;4646
世界史（历史学院）;1152
　　给排水工程技术;5777
信息与计算科学;176
艺术设计(新媒体艺术设计方向);769
环境监测;1496
社会体育;323
学前教育（３年制）;2447
表演艺术（幼儿艺术方向）;1453
计算机科学与技术专业（惠普软件开发方向）;5532
信息工程(应用电子技术方向);7226
波斯语;97
旅游管理（生态旅游方向）专业;3436
旅游管理(企划与营销方向);6269
中医学（国家特色专业建设点）;3977
临床医学专业 ;2665
心理咨询（学校心理健康教育方向）（师范;4106
　环境艺术设计（建筑表现方向）;1885
德语;94
社会学类;522
计算机网络技术(网络管理方向);5902
音乐学（师范类）;6345
医学影像技术（专科）;1577
物流管理(采购管理方向);7693
文物与博物馆学;468
法学（本）;9265
化工设备维修技术(国家骨干校重点建设专业、自治区级品牌专业);2480
应用化学专业;5984
地下工程与隧道工程技术（盾构技术）;3371
美术学(师范类);9582
计算机信息管理(网络公安方向);8520
软件工程（本科，理工类）;8426
动漫;4326
应用导游（日汉同声传译方向）;1924
机械设计制造及其自动化(本科，芬兰合作办学2+2);4680
计算机科学与技术（软件服务外包）;5627
表演艺术（舞蹈表演）;7767
船舶工程技术;1857
机电一体化技术（模具CAD/CAM）;7908
港口与航运管理;2782
文秘(商务文秘方向);1753
城市环境岩土工程;3919
水利水电建筑工程（港口工程技术方向）;4587
工商管理（财务管理）;9438
工商企业管理（中德合作）;8050
焊接技术与工程专业;2592
文秘/计算机应用技术;4448
中药(鉴定方向）;1676
网页与多媒体设计;8053
地籍测绘与土地管理信息技术;4596
旅游管理（双语导游方向）;6839
数字游戏设计;599
新闻采编与制作(经济新闻方向);9476
信息管理与信息系统（计算机应用方向）;1042
工程机械运用与维修;6891
计算机应用技术（网络设计方向）;7988
会计学（会计信息化）;7303
经济信息管理 ;1803
会展艺术与技术;571
市场营销(电子商务) ;4500
汉语国际教育（中外文化交流）;7381
自动化（技能高考）;6522
涉毒人员矫治专业;6971
土建;280
文化事业管理;5660
计算机网络技术(自治区级品牌专业);2478
蒙古语言文学;9680
金融管理与实务（金融理财）;6607
旅游管理（会展策划与管理方向）;3342
计算机软件（三年制）;5165
护理（专科）;1578
监狱学;1531
航空服务管理;1109
计算机控制技术(机电一体化方向);8497
电气工程与自动化（机电一体化应用技术方向）;9204
国际经济与贸易(国际贸易方向);760
电气自动化技术（自动化设备管理方向;9128
生物实验技术(设施景观方向);765
资产评估与管理;1645
麻醉学专业;2666
汽车电子技术 ;7638
会计电算化（省级特色专业）;4777
选煤技术;2539
报关与国际货运 ;8252
工程监理 ;4190
摄影摄像技术（670302）;5312
师范;3649
空中乘务;1244
工业与民用建筑（三年制，中专）;5158
应用电子技术（电子信息技术）;7830
汉语言文学（财经文秘方向）;3732
产品设计（本科）;7433
飞机维修（发动机装配与调试方向）;6922
船机制造与维修;1430
筑路机械;2528
城市轨道交通控制（机电设备）;1124
档案学（商学院）;1181
服装与服饰设计（学制4年）;2380
医药营销;1717
国防建筑设备工程;4430
网络工程 ;1047
材料类（中外合作办学）;2297
中医学（基础医学方向）;3635
自动化与数控;1054
视觉传达设计（数码设计）;4997
市场营销（汽车服务与营销）;4451
地理科学类（中外）;4061
广告学（设计方向）;1518
环境艺术设计（景观方向）;1394
应用心理学（师范）;478
软件技术（北大青鸟软件工程师）;3307
音乐教育(5年制);2454
英语+软件工程;2633
汽车检测与维修技术(汽车制造与装配技术方向);3354
空中乘务（520503）;5331
土术工程;6432
　　旅游管理（酒店管理方向）;4758
商务英语（跨境电子商务）;8687
仪器仪表类;6408
网络工程（物联网技术及应用方向）;8163
计算机科学与技术（三本）;9365
软件技术（软件开发与设计.net方向）;1908
市场营销学制两年;5406
高尔夫球场服务与管理;2818
预防兽医学;2978
日语（国际商务）;7136
房地产经营与估价 ;1701
物流管理（专科）;816
艺术系;5189
成本管理与控制;8675
航空机械制造与自动化;6924
 药物制剂技术（华佗国药班）;4701
植物科学;3112
测绘工程（学制4年）;2364
经济学（三本）;9369
软件工程（移动云计算方向）;8158
建筑施工与管理;5876
信息技术学院;7125
公路工程造价;4408
英语（高级翻译）;2712
机械设计造及其自动化;6434
汽车;5880
计算机科学与技术（微软.Net技术订单培养）;3148
饲料与动物营养;1787
社区管理与服务  ;849
动画（含网络游戏专业方向）;3999
信息传播与多媒体技术;5290
临床医学（日语班）;3118
通信技术 ;4181
制药工程专业;9277
艺术设计(服装设计与工程方向）;800
计算机网络技术(北大青鸟网络工程师);3503
电子科学与技术（通信与手机开发）;8605
教育學士學位學前教育;9723
建筑设备工程技术（含建筑水电设计）;7778
